centreName,alias,centreType,address,city,county,postcode,website,phone,latitude,longitude,dataQualityNote,lastVerifiedDate,storeName,categoryRaw,subcategoryRaw,unitNumber,floor,isAnchorTenant,normalizedCategoryId,storeAddress,storePostcode,sourceUrls
"Stanground Local Centre (Cardea, Morrisons-led)",Often mislabeled as 'Stanground Retail Park',RETAIL_PARK,Bellona Drive (Cardea Local Centre),Peterborough,Cambridgeshire,PE2 8GP,https://my.morrisons.com/storefinder/414/stanground/,+44 1733 308707,52.5539,-0.2301,"This is a neighbourhood/local centre anchored by Morrisons, not a branded retail park. Parade includes 6+ units plus pub and petrol forecourt.",2025-09-29,Morrisons Supermarket (Stanground),Supermarket,Grocery Hypermarket,,,True,GROCERY_SUPERMARKET,"Morrisons, Bellona Drive, Cardea",PE2 8GP,https://my.morrisons.com/storefinder/414/stanground/ | https://www.yell.com/biz/morrisons-peterborough-7826721/
"Stanground Local Centre (Cardea, Morrisons-led)",Often mislabeled as 'Stanground Retail Park',RETAIL_PARK,Bellona Drive (Cardea Local Centre),Peterborough,Cambridgeshire,PE2 8GP,https://my.morrisons.com/storefinder/414/stanground/,+44 1733 308707,52.5539,-0.2301,"This is a neighbourhood/local centre anchored by Morrisons, not a branded retail park. Parade includes 6+ units plus pub and petrol forecourt.",2025-09-29,Morrisons Café (in-store),Café,Supermarket Café,In-store,,False,FOOD_DRINK_CAFE,"Bellona Drive, Cardea",PE2 8GP,https://www.tripadvisor.co.uk/Restaurant_Review-g187045-d17806655-Reviews-Morrisons_Stanground_Cafe-Peterborough_Cambridgeshire_England.html | https://www.mapquest.com/gb/england/morrisons-stanground-cafe-511484404
"Stanground Local Centre (Cardea, Morrisons-led)",Often mislabeled as 'Stanground Retail Park',RETAIL_PARK,Bellona Drive (Cardea Local Centre),Peterborough,Cambridgeshire,PE2 8GP,https://my.morrisons.com/storefinder/414/stanground/,+44 1733 308707,52.5539,-0.2301,"This is a neighbourhood/local centre anchored by Morrisons, not a branded retail park. Parade includes 6+ units plus pub and petrol forecourt.",2025-09-29,Nutmeg (in Morrisons),Clothing (Supermarket brand),Family Clothing,In-store,,False,APPAREL_VALUE,"Bellona Drive, Cardea",PE2 8GP,https://www.192.com/places/pe/pe2-8/pe2-8gp/
"Stanground Local Centre (Cardea, Morrisons-led)",Often mislabeled as 'Stanground Retail Park',RETAIL_PARK,Bellona Drive (Cardea Local Centre),Peterborough,Cambridgeshire,PE2 8GP,https://my.morrisons.com/storefinder/414/stanground/,+44 1733 308707,52.5539,-0.2301,"This is a neighbourhood/local centre anchored by Morrisons, not a branded retail park. Parade includes 6+ units plus pub and petrol forecourt.",2025-09-29,Morrisons Petrol Station (MFG),Fuel Station,Forecourt & Shop,,,False,FUEL_PETROL_STATION,"Bellona Drive, Cardea",PE2 8GP,https://www.motorfuelgroup.com/locations/morrisons-stanground-fs2414/ | https://www.yelp.co.uk/biz/morrisons-petrol-station-peterborough
"Stanground Local Centre (Cardea, Morrisons-led)",Often mislabeled as 'Stanground Retail Park',RETAIL_PARK,Bellona Drive (Cardea Local Centre),Peterborough,Cambridgeshire,PE2 8GP,https://my.morrisons.com/storefinder/414/stanground/,+44 1733 308707,52.5539,-0.2301,"This is a neighbourhood/local centre anchored by Morrisons, not a branded retail park. Parade includes 6+ units plus pub and petrol forecourt.",2025-09-29,Morrisons Car Wash (Jet Wash/Vacuum),Car Wash,Forecourt Services,,,False,AUTO_SERVICES,"Bellona Drive, Cardea",PE2 8GP,https://www.192.com/places/pe/pe2-8/pe2-8gp/
"Stanground Local Centre (Cardea, Morrisons-led)",Often mislabeled as 'Stanground Retail Park',RETAIL_PARK,Bellona Drive (Cardea Local Centre),Peterborough,Cambridgeshire,PE2 8GP,https://my.morrisons.com/storefinder/414/stanground/,+44 1733 308707,52.5539,-0.2301,"This is a neighbourhood/local centre anchored by Morrisons, not a branded retail park. Parade includes 6+ units plus pub and petrol forecourt.",2025-09-29,InPost Parcel Locker (Morrisons Car Park),Parcel Locker,24/7 Locker,,,False,PARCEL_LOCKER,"Bellona Drive, Cardea",PE2 8GP,https://www.localmint.com/uk/inpost-locker-morrisons-store-hours-1285602
"Stanground Local Centre (Cardea, Morrisons-led)",Often mislabeled as 'Stanground Retail Park',RETAIL_PARK,Bellona Drive (Cardea Local Centre),Peterborough,Cambridgeshire,PE2 8GP,https://my.morrisons.com/storefinder/414/stanground/,+44 1733 308707,52.5539,-0.2301,"This is a neighbourhood/local centre anchored by Morrisons, not a branded retail park. Parade includes 6+ units plus pub and petrol forecourt.",2025-09-29,Barnardo’s (Cardea Local Centre),Charity Shop,Second-hand Retail,Unit 5,,False,CHARITY_SHOP,"Bellona Drive, Cardea",PE2 8GP,https://shop.barnardos.org.uk/shop/stanground | https://www.192.com/places/pe/pe2-8/pe2-8gp/
"Stanground Local Centre (Cardea, Morrisons-led)",Often mislabeled as 'Stanground Retail Park',RETAIL_PARK,Bellona Drive (Cardea Local Centre),Peterborough,Cambridgeshire,PE2 8GP,https://my.morrisons.com/storefinder/414/stanground/,+44 1733 308707,52.5539,-0.2301,"This is a neighbourhood/local centre anchored by Morrisons, not a branded retail park. Parade includes 6+ units plus pub and petrol forecourt.",2025-09-29,Fishtastic (Cardea),Takeaway,Fish & Chips,Unit 3,,False,TAKEAWAY_FISH_AND_CHIPS,"Bellona Drive, Cardea",PE2 8GP,https://www.fishtasticfood.co.uk/ | https://ratings.food.gov.uk/business/en-GB/643256
"Stanground Local Centre (Cardea, Morrisons-led)",Often mislabeled as 'Stanground Retail Park',RETAIL_PARK,Bellona Drive (Cardea Local Centre),Peterborough,Cambridgeshire,PE2 8GP,https://my.morrisons.com/storefinder/414/stanground/,+44 1733 308707,52.5539,-0.2301,"This is a neighbourhood/local centre anchored by Morrisons, not a branded retail park. Parade includes 6+ units plus pub and petrol forecourt.",2025-09-29,Chicken Corner (Cardea),Takeaway,Chicken/Pizza/Kebab,Unit 1,,False,TAKEAWAY_CHICKEN_PIZZA,"Bellona Drive, Cardea",PE2 8GP,https://chickencornercardea.com/ | https://www.facebook.com/chickencorner12/
"Stanground Local Centre (Cardea, Morrisons-led)",Often mislabeled as 'Stanground Retail Park',RETAIL_PARK,Bellona Drive (Cardea Local Centre),Peterborough,Cambridgeshire,PE2 8GP,https://my.morrisons.com/storefinder/414/stanground/,+44 1733 308707,52.5539,-0.2301,"This is a neighbourhood/local centre anchored by Morrisons, not a branded retail park. Parade includes 6+ units plus pub and petrol forecourt.",2025-09-29,Vape Myst (Cardea),Vape Shop,E‑cigarettes & E‑liquids,Unit 4,,False,VAPE_SHOP,"Bellona Drive, Cardea",PE2 8GP,https://www.vapemyst.com/pages/vape-shop-stanground | https://vapeshop-nearme.com/listing/vape-myst-cardea/
"Stanground Local Centre (Cardea, Morrisons-led)",Often mislabeled as 'Stanground Retail Park',RETAIL_PARK,Bellona Drive (Cardea Local Centre),Peterborough,Cambridgeshire,PE2 8GP,https://my.morrisons.com/storefinder/414/stanground/,+44 1733 308707,52.5539,-0.2301,"This is a neighbourhood/local centre anchored by Morrisons, not a branded retail park. Parade includes 6+ units plus pub and petrol forecourt.",2025-09-29,Cardea Barbers,Barbers,Gents Haircuts,1B,,False,BARBERSHOP,"Bellona Drive, Cardea",PE2 8GP,https://www.fresha.com/lvp/cardea-barbers-bellona-drive-58NLW8 | https://open.endole.co.uk/explorer/postcode/pe2-8gp
"Stanground Local Centre (Cardea, Morrisons-led)",Often mislabeled as 'Stanground Retail Park',RETAIL_PARK,Bellona Drive (Cardea Local Centre),Peterborough,Cambridgeshire,PE2 8GP,https://my.morrisons.com/storefinder/414/stanground/,+44 1733 308707,52.5539,-0.2301,"This is a neighbourhood/local centre anchored by Morrisons, not a branded retail park. Parade includes 6+ units plus pub and petrol forecourt.",2025-09-29,Juicy Tubes Tanning Studio,Tanning Salon,Beauty & Personal Care,Unit 2,,False,TANNING_SALON,"Bellona Drive, Cardea",PE2 8GP,https://www.instagram.com/juicy_tubes/ | https://tanning-salons.co.uk/Peterborough
"Stanground Local Centre (Cardea, Morrisons-led)",Often mislabeled as 'Stanground Retail Park',RETAIL_PARK,Bellona Drive (Cardea Local Centre),Peterborough,Cambridgeshire,PE2 8GP,https://my.morrisons.com/storefinder/414/stanground/,+44 1733 308707,52.5539,-0.2301,"This is a neighbourhood/local centre anchored by Morrisons, not a branded retail park. Parade includes 6+ units plus pub and petrol forecourt.",2025-09-29,Bella Mia Hair & Beauty,Hair & Beauty,Salon,,,False,BEAUTY_SALON,"Bellona Drive, Cardea",PE2 8GP,https://www.mapquest.com/gb/england/bella-mia-hair-beauty-775411998
"Stanground Local Centre (Cardea, Morrisons-led)",Often mislabeled as 'Stanground Retail Park',RETAIL_PARK,Bellona Drive (Cardea Local Centre),Peterborough,Cambridgeshire,PE2 8GP,https://my.morrisons.com/storefinder/414/stanground/,+44 1733 308707,52.5539,-0.2301,"This is a neighbourhood/local centre anchored by Morrisons, not a branded retail park. Parade includes 6+ units plus pub and petrol forecourt.",2025-09-29,The Apple Cart (Marston’s),Pub & Restaurant,Family Pub,,,False,PUB_RESTAURANT,"Bellona Drive, Cardea",PE2 8GP,https://www.applecartpubpeterborough.co.uk/ | https://www.tripadvisor.com/Restaurant_Review-g187045-d2330237-Reviews-Apple_Cart-Peterborough_Cambridgeshire_England.html
